app_id,market,scraped,english,min_words,exact_dedup,near_dedup
air.com.buffalo_studios.newflashbingo,gb,5000,4988,4866,4865,4865
air.com.buffalo_studios.newflashbingo,us,5000,4988,4859,1884,1884
com.MadOut.BIG,in,5000,4969,4782,4777,4774
com.activision.callofduty.shooter,in,5000,4997,4982,4979,4976
com.activision.callofduty.shooter,us,5000,4995,4965,1487,1485
com.aniplex.fategrandorder.en,gb,5000,5000,4997,4997,4997
com.aniplex.fategrandorder.en,us,5000,5000,4997,0,0
com.bandainamcoent.dblegends_ww,gb,5000,4999,4963,4962,4960
com.bandainamcoent.dblegends_ww,us,5000,4999,4963,1261,1261
com.bingo.cruise.free.best.top.game,gb,5000,4836,3770,3770,3770
com.cedargames.mysterytown,gb,1583,1277,879,879,879
com.chess,in,5000,4996,4830,4830,4830
com.cola.game,gb,3617,2785,1801,1800,1800
com.cola.game,in,3617,2785,1801,0,0
com.combo.yarnflow,gb,3033,2409,1365,1365,1365
com.combo.yarnflow,us,3033,2409,1365,0,0
com.cooking.bingo.ldkwh,gb,5000,4928,4610,4609,4608
com.diamondlife.slots.vegas.free,us,5000,4981,4783,4783,4783
com.dreamgames.royalkingdom,gb,5000,4949,4518,4518,4516
com.dreamgames.royalkingdom,us,5000,4946,4492,173,173
com.dreamgames.royalmatch,gb,5000,4990,4900,4898,4894
com.dreamgames.royalmatch,in,5000,4990,4900,257,257
com.dreamgames.royalmatch,us,5000,4989,4895,824,824
com.dts.freefiremax,in,5000,4996,4926,4922,4892
com.dts.freefireth,us,5000,4994,4948,4940,4925
com.ea.gp.fifamobile,in,5000,4998,4940,4937,4933
com.fatmerge.global,gb,5000,4936,4244,4244,4243
com.fatmerge.global,in,5000,4936,4249,17,17
com.fatmerge.global,us,5000,4936,4241,93,93
com.firsttouchgames.dls7,in,5000,4999,4958,4958,4954
com.fun.lastwar.gp,gb,5000,4998,4965,4965,4964
com.fun.lastwar.gp,in,5000,4998,4968,170,170
com.fun.lastwar.gp,us,5000,4997,4930,623,623
com.funplus.ts.global,in,5000,4835,3535,3535,3535
com.funtomic.matchmasters,gb,5000,4997,4961,4961,4961
com.gamedots.seasideescape,gb,5000,4925,4251,4251,4251
com.global.ztmslg,us,5000,4998,4971,4971,4971
com.gof.global,gb,5000,4998,4960,4959,4959
com.gof.global,in,5000,4998,4961,150,150
com.gof.global,us,5000,4998,4952,421,421
com.hollywood.merge,gb,1555,1156,694,694,694
com.homagames.studio.allinhole,us,5000,4858,4021,4021,4021
com.igg.android.lordsmobile,in,5000,4996,4965,4960,4959
com.innplaylabs.animalkingdomraid,gb,5000,4987,4821,4819,4819
com.innplaylabs.animalkingdomraid,in,5000,4987,4822,68,68
com.joycastle.mergematch,gb,5000,4894,3994,3994,3994
com.king.candycrushsaga,gb,5000,4978,4816,4814,4806
com.king.candycrushsaga,in,5000,4978,4816,164,164
com.king.candycrushsaga,us,5000,4978,4814,799,799
com.king.candycrushsodasaga,gb,5000,4993,4908,4907,4902
com.king.candycrushsodasaga,in,5000,4993,4908,20,20
com.king.candycrushsodasaga,us,5000,4993,4908,134,134
com.kurogame.wutheringwaves.global,in,5000,4993,4950,4950,4950
com.loomgames.pixelflow,gb,5000,4908,4432,4432,4432
com.loomgames.pixelflow,us,5000,4891,4372,161,161
com.ludo.king,in,5000,4994,4931,4928,4921
com.merge.cooking.theme.restaurant.food,gb,5000,4910,4375,4373,4373
com.merge.cooking.theme.restaurant.food,us,5000,4891,4190,123,123
com.mergegames.gossipharbor,gb,5000,4988,4880,4879,4878
com.mergegames.gossipharbor,us,5000,4985,4864,697,697
com.miHoYo.GenshinImpact,in,5000,5000,4998,4997,4995
com.miniclip.carrom,in,5000,4968,4646,4633,4619
com.miniclip.cricketleague,in,5000,4980,4772,4767,4755
com.miniclip.eightballpool,in,5000,4996,4934,4934,4933
