title_raw,market_listed,casino,notes
Free Fire MAX,in,0,India-only variant of Free Fire
Battlegrounds Mobile India (BGMI),in,0,fixed from 'BGMI: FPS Battle Royale'
Coin Master,in,0,
Candy Crush Saga,in,0,
eFootball,in,0,
Roblox,in,0,
Pokémon GO,in,0,fixed casing from 'Pokémon Go'
Clash of Clans,in,0,
Kingshot,in,0,fixed from 'King Shot' (matches US/UK listing)
EA SPORTS FC Mobile 26 Soccer,in,0,fixed word order from 'EA Sports FC Soccer Mobile 26'
Teen Patti Octro 3 Patti Rummy,in,1,card gambling
Gardenscapes,in,0,
Call of Duty: Mobile,in,0,
Travel Town - Merge Adventure,in,0,normalized from 'Travel Town Merge Adventure'
Top Tycoon: Coin Theme Empire,in,0,
Township,in,0,
Last War: Survival Game,in,0,
Tasty Travels: Merge Game,in,0,
Royal Match,in,0,
Last Z: Survival Shooter,in,0,
Teen Patti GOLD: 3 Patti Rummy,in,1,card gambling
Ludo King,in,0,
8 Ball Pool,in,0,
Moba Legends: 5v5!,in,0,VERIFY: fixed from 'Moba Legends: 5v5' — hand-check resolved id
Homescapes,in,0,
Whiteout Survival,in,0,
Yalla Ludo - Ludo & Domino,in,0,fixed from 'Yalla Ludo - Ludo and Jackaroo'; verify match
Shadow Fight 4: Arena,in,0,
Clash Royale,in,0,
Carrom Pool: Disc Game,in,0,
Genshin Impact,in,0,
Evony: The King's Return,in,0,fixed casing from 'Evony: The king's return'
Chess - Play and Learn,in,0,fixed from 'Chess - Play and Learn Online' (Chess.com app)
MadOut 2: Grand Auto Racing,in,0,
Cricket League,in,0,
Zynga Poker - Texas Holdem,in,1,poker
Mech Arena - Shooting Game,in,0,
Real Cricket 26,in,0,VERIFY: 'Real Cricket' ambiguous across versions
Lords Mobile: Kingdom Wars,in,0,fixed casing from 'Lords Mobile: Kingdom wars'
Fishdom,in,0,
Flambe: Merge and Cook,in,0,
Tiles Survive!,in,0,
War Robots Multiplayer Battles,in,0,
Wuthering Waves,in,0,seasonal subtitle; match base app
Animals & Coins,in,0,normalized from 'Animals and Coins: Animal Run'
Dream League Soccer 2026,in,0,
Monopoly GO!,in,0,normalized from 'Monopoly Go'
Candy Crush Soda Saga,in,0,
Hitwicket Cricket Game 2026,in,0,
Carnival Tycoon: Coin Games,in,0,
Monopoly GO!,us,0,
Pokémon GO,us,0,
Roblox,us,0,
Candy Crush Saga,us,0,
Royal Match,us,0,
Kingshot,us,0,
Gossip Harbor: Merge & Story,us,0,normalized from 'Gossip Harbor: Merge and Story'
Coin Master,us,0,
Township,us,0,
Last War: Survival Game,us,0,
Whiteout Survival,us,0,
Royal Kingdom,us,0,
Fate/Grand Order,us,0,
Last Z: Survival Shooter,us,0,
Toon Blast,us,0,
Call of Duty: Mobile,us,0,
Free Fire,us,0,fixed from 'Free Fire: 9th Anniversary' (seasonal subtitle)
Evony: The King's Return,us,0,
Jackpot Party Casino Slots,us,1,social casino slots
Sword x Staff,us,0,
Disney Solitaire,us,0,
Gardenscapes,us,0,
Match Factory!,us,0,
Lightning Link Casino Slots,us,1,fixed from 'Lighting Link Casino Slots'; social casino slots
Total Battle: War Strategy,us,0,fixed from 'Toral Battle: War Strategy'; same app as UK 'Total Battle: Tactical Wars'
Cashman Casino Slots Games,us,1,social casino slots
Candy Crush Soda Saga,us,0,
PUBG MOBILE,us,0,
Bingo Blitz - Bingo Games,us,1,fixed spacing from 'Bingo Blitz- Bingo Games'; social bingo
Pixel Flow!,us,0,
Fishdom,us,0,
Tasty Travels: Merge Game,us,0,
Goddess of Victory: NIKKE,us,0,
Dice Dreams,us,0,
Dragon Ball Legends,us,0,
Homescapes,us,0,
Clash of Clans,us,0,
Last Asylum: Plague,us,0,
Lotsa Slots - Casino Games,us,1,social casino slots
Clash Royale,us,0,
All in Hole: Black Hole Games,us,0,
Yarn Loop,us,0,
Dark War Survival,us,0,
Travel Town - Merge Adventure,us,0,
Cash Frenzy - Casino Slots,us,1,social casino slots
Solitaire Grand Harvest,us,0,
Merge Cooking,us,0,
Puzzles & Survival,us,0,normalized from 'Puzzles and Survival'
Coin Master: Board Adventure,us,0,fixed from 'Coin Master - Board Adventure'; distinct app from Coin Master — verify
Coin Master,gb,0,
Pokémon GO,gb,0,
Monopoly GO!,gb,0,
Roblox,gb,0,
Candy Crush Saga,gb,0,
Royal Match,gb,0,
Kingshot,gb,0,
Gossip Harbor: Merge & Story,gb,0,
Township,gb,0,
Last War: Survival Game,gb,0,
Disney Solitaire,gb,0,
Royal Kingdom,gb,0,fixed from 'Royal Kingdowm'
Whiteout Survival,gb,0,
Gardenscapes,gb,0,fixed from 'Garden Scapes'
Dice Dreams,gb,0,
Travel Town - Merge Adventure,gb,0,
Total Battle: Tactical Wars,gb,0,same app as US 'Total Battle: War Strategy'
Tasty Travels: Merge Game,gb,0,
Coin Master: Board Adventure,gb,0,distinct app from Coin Master — verify
Homescapes,gb,0,
Fate/Grand Order,gb,0,
Candy Crush Soda Saga,gb,0,
Flambe: Merge and Cook,gb,0,fixed casing from 'Flambe: Merge and cook'
Last Asylum: Plague,gb,0,
Fishdom,gb,0,
Last Z: Survival Shooter,gb,0,
RAID: Shadow Legends,gb,0,
Bingo Blitz - Bingo Games,gb,1,fixed spacing; social bingo
Toon Blast,gb,0,
Pixel Flow!,gb,0,
Matching Story - Puzzle Games,gb,0,
Evony: The King's Return,gb,0,
Mystery Town: Merge Games,gb,0,
Match Factory!,gb,0,
Dragon Ball Legends,gb,0,
Domino Dreams,gb,0,
Clash of Clans,gb,0,
Bingo Voyage: Live Bingo Games,gb,1,social bingo
Yarn Loop,gb,0,
Solitaire Grand Harvest,gb,0,
Seaside Escape: Merge & Story,gb,0,normalized from 'Seaside Escape: Merge and Story'
Merge Cooking,gb,0,
"Warhammer 40,000: Tacticus",gb,0,
Clash Royale,gb,0,
Dark War Survival,gb,0,
Animals & Coins: Animal Run,gb,0,normalized from 'Animals and Coins' to match India row
Match Masters: PvP Puzzle Game,gb,0,
PUBG MOBILE,gb,0,fixed casing from 'PUBG Mobile'
Bingo Frenzy - Live Bingo Games,gb,1,fixed casing from 'Bingo Frenzy - Live Bingo games'; social bingo
Hollywood Merge,gb,0,
Top Tycoon: Coin Theme Empire,gb,0
