app_id,canonical_title,developer,markets,casino,title_raw,match_score,needs_review,notes
com.miniclip.eightballpool,8 Ball Pool,Miniclip.com,in,0,8 Ball Pool,1.000,0,
com.homagames.studio.allinhole,All in Hole: Black Hole Games,Homa,us,0,All in Hole: Black Hole Games,1.000,0,
com.innplaylabs.animalkingdomraid,Animals & Coins: Animal Run,Innplay Labs,gb;in,0,Animals & Coins;Animals & Coins: Animal Run,0.703,0,FLAG: low score 0.70 | FLAG: low score 0.70; also matched by raw 'Animals & Coins' | normalized from 'Animals and Coins' to match India row | normalized from 'Animals and Coins: Animal Run'
com.pubg.imobile,BGMI: FPS Battle Royale,"KRAFTON, Inc.",in,0,Battlegrounds Mobile India (BGMI),0.566,0,FLAG: low score 0.57 | fixed from 'BGMI: FPS Battle Royale'
air.com.buffalo_studios.newflashbingo,Bingo Blitz™️ - Bingo Games,Playtika Santa Monica,gb;us,1,Bingo Blitz - Bingo Games,1.000,0,fixed spacing from 'Bingo Blitz- Bingo Games'; social bingo | fixed spacing; social bingo
com.cooking.bingo.ldkwh,Bingo Frenzy: Live Bingo Games,VERTEX GAMES PTE. LTD.,gb,1,Bingo Frenzy - Live Bingo Games,1.000,0,fixed casing from 'Bingo Frenzy - Live Bingo games'; social bingo
com.bingo.cruise.free.best.top.game,Bingo Voyage - Live Bingo Game,VERTEX GAMES PTE. LTD.,gb,1,Bingo Voyage: Live Bingo Games,0.982,0,social bingo
com.activision.callofduty.shooter,Call of Duty®: Mobile,"Activision Publishing, Inc.",in;us,0,Call of Duty: Mobile,1.000,0,
com.king.candycrushsaga,Candy Crush Saga,King,gb;in;us,0,Candy Crush Saga,1.000,0,
com.king.candycrushsodasaga,Candy Crush Soda Saga,King,gb;in;us,0,Candy Crush Soda Saga,1.000,0,
com.solitairetripeaks.masterdesign,Carnival Tycoon: Coin Games,Wild Candle Spin LLC,in,0,Carnival Tycoon: Coin Games,1.000,0,
com.miniclip.carrom,Carrom Pool: Disc Game,Miniclip.com,in,0,Carrom Pool: Disc Game,1.000,0,
slots.pcg.casino.games.free.android,Cash Frenzy™ - Casino Slots,SpinX Games Limited,us,1,Cash Frenzy - Casino Slots,1.000,0,social casino slots
com.productmadness.cashmancasino,Cashman Casino Slots Games,Product Madness,us,1,Cashman Casino Slots Games,1.000,0,social casino slots
com.chess,Chess - Play and Learn Online,Chess.com,in,0,Chess - Play and Learn,0.851,0,fixed from 'Chess - Play and Learn Online' (Chess.com app)
com.supercell.clashofclans,Clash of Clans,Supercell,gb;in;us,0,Clash of Clans,1.000,0,
com.supercell.clashroyale,Clash Royale,Supercell,gb;in;us,0,Clash Royale,1.000,0,
com.moonactive.coinmaster,Coin Master,Moon Active,gb;in;us,0,Coin Master,1.000,0,
com.moonactive.cmboard,Coin Master - Board Adventure,Moon Active,gb;us,0,Coin Master: Board Adventure,1.000,0,distinct app from Coin Master — verify | fixed from 'Coin Master - Board Adventure'; distinct app from Coin Master — verify
com.miniclip.cricketleague,Cricket League,Miniclip.com,in,0,Cricket League,1.000,0,
com.readygo.dark.gp,Dark War Survival,Omnilojo Pte Ltd,gb;us,0,Dark War Survival,1.000,0,
com.superplaystudios.dicedreams,Dice Dreams™️,SuperPlay.,gb;us,0,Dice Dreams,1.000,0,
com.superplaystudios.disneysolitairedreams,Disney Solitaire,SuperPlay.,gb;us,0,Disney Solitaire,1.000,0,
com.screenshake.dominodreams,Domino Dreams™,SuperPlay.,gb,0,Domino Dreams,1.000,0,
com.bandainamcoent.dblegends_ww,DRAGON BALL LEGENDS,Bandai Namco Entertainment Inc.,gb;us,0,Dragon Ball Legends,1.000,0,
com.firsttouchgames.dls7,Dream League Soccer 2026,First Touch Games Ltd.,in,0,Dream League Soccer 2026,1.000,0,
com.ea.gp.fifamobile,EA SPORTS FC Soccer Mobile 26,ELECTRONIC ARTS,in,0,EA SPORTS FC Mobile 26 Soccer,1.000,0,fixed word order from 'EA Sports FC Soccer Mobile 26'
jp.konami.pesam,eFootball™,KONAMI,in,0,eFootball,1.000,0,
com.topgamesinc.evony,Evony: The King's Return,TG Inc.,gb;in;us,0,Evony: The King's Return,1.000,0,fixed casing from 'Evony: The king's return'
com.aniplex.fategrandorder.en,Fate/Grand Order (English),Aniplex Inc.,gb;us,0,Fate/Grand Order,0.800,0,
com.playrix.fishdomdd.gplay,Fishdom,Playrix,gb;in;us,0,Fishdom,1.000,0,
com.cola.game,Flambé®: Merge & Cook,Microfun Limited,gb;in,0,Flambe: Merge and Cook,0.895,0,fixed casing from 'Flambe: Merge and cook'
com.dts.freefiremax,Free Fire MAX,GARENA INTERNATIONAL I,in,0,Free Fire MAX,1.000,0,India-only variant of Free Fire
com.dts.freefireth,Free Fire: 9th Anniversary,GARENA INTERNATIONAL I,us,0,Free Fire,0.514,0,FLAG: low score 0.51 | fixed from 'Free Fire: 9th Anniversary' (seasonal subtitle)
