title_raw,market_listed,casino,notes,id,matched_title,match_score,needs_review,scrape_notes
Free Fire MAX,in,0,India-only variant of Free Fire,com.dts.freefiremax,Free Fire MAX,1.000,0,
Battlegrounds Mobile India (BGMI),in,0,fixed from 'BGMI: FPS Battle Royale',com.pubg.imobile,BGMI: FPS Battle Royale,0.566,1,low score 0.57
Coin Master,in,0,,com.moonactive.coinmaster,Coin Master,1.000,0,
Candy Crush Saga,in,0,,com.king.candycrushsaga,Candy Crush Saga,1.000,0,
eFootball,in,0,,jp.konami.pesam,eFootball™,1.000,0,
Roblox,in,0,,com.roblox.client,Roblox,1.000,0,
Pokémon GO,in,0,fixed casing from 'Pokémon Go',com.nianticlabs.pokemongo,Pokémon GO,1.000,0,
Clash of Clans,in,0,,com.supercell.clashofclans,Clash of Clans,1.000,0,
Kingshot,in,0,fixed from 'King Shot' (matches US/UK listing),com.run.tower.defense,Kingshot,1.000,0,
EA SPORTS FC Mobile 26 Soccer,in,0,fixed word order from 'EA Sports FC Soccer Mobile 26',com.ea.gp.fifamobile,EA SPORTS FC Soccer Mobile 26,1.000,0,
Teen Patti Octro 3 Patti Rummy,in,1,card gambling,com.octro.teenpatti,Teen Patti Octro 3 Patti Rummy,1.000,0,
Gardenscapes,in,0,,com.playrix.gardenscapes,Gardenscapes,1.000,0,
Call of Duty: Mobile,in,0,,com.activision.callofduty.shooter,Call of Duty®: Mobile,1.000,0,
Travel Town - Merge Adventure,in,0,normalized from 'Travel Town Merge Adventure',io.randomco.travel,Travel Town - Merge Adventure,1.000,0,
Top Tycoon: Coin Theme Empire,in,0,,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,1.000,0,
Township,in,0,,com.playrix.township,Township,1.000,0,
Last War: Survival Game,in,0,,com.fun.lastwar.gp,Last War:Survival Game,1.000,0,
Tasty Travels: Merge Game,in,0,,com.fatmerge.global,Tasty Travels: Merge Game,1.000,0,
Royal Match,in,0,,com.dreamgames.royalmatch,Royal Match,1.000,0,
Last Z: Survival Shooter,in,0,,com.readygo.barrel.gp,Last Z: Survival Shooter,1.000,0,
Teen Patti GOLD: 3 Patti Rummy,in,1,card gambling,com.teenpatti.hd.gold,Teen Patti GOLD: 3 Patti Rummy,1.000,0,
Ludo King,in,0,,com.ludo.king,Ludo King®,1.000,0,
8 Ball Pool,in,0,,com.miniclip.eightballpool,8 Ball Pool,1.000,0,
Moba Legends: 5v5!,in,0,VERIFY: fixed from 'Moba Legends: 5v5' — hand-check resolved id,com.mobiin.gp,Moba Legends: 5v5!,1.000,0,
Homescapes,in,0,,com.playrix.homescapes,Homescapes,1.000,0,
Whiteout Survival,in,0,,com.gof.global,Whiteout Survival,1.000,0,
Yalla Ludo - Ludo & Domino,in,0,fixed from 'Yalla Ludo - Ludo and Jackaroo'; verify match,com.yalla.yallagames,Yalla Ludo - Ludo&amp;Jackaroo,0.720,0,
Shadow Fight 4: Arena,in,0,,com.nekki.shadowfightarena,Shadow Fight 4: Arena,1.000,0,
Clash Royale,in,0,,com.supercell.clashroyale,Clash Royale,1.000,0,
Carrom Pool: Disc Game,in,0,,com.miniclip.carrom,Carrom Pool: Disc Game,1.000,0,
Genshin Impact,in,0,,com.miHoYo.GenshinImpact,Genshin Impact,1.000,0,
Evony: The King's Return,in,0,fixed casing from 'Evony: The king's return',com.topgamesinc.evony,Evony: The King&#39;s Return,0.939,0,
Chess - Play and Learn,in,0,fixed from 'Chess - Play and Learn Online' (Chess.com app),com.chess,Chess - Play and Learn Online,0.851,0,
MadOut 2: Grand Auto Racing,in,0,,com.MadOut.BIG,MadOut 2: Grand Auto Racing,1.000,0,
Cricket League,in,0,,com.miniclip.cricketleague,Cricket League,1.000,0,
Zynga Poker - Texas Holdem,in,1,poker,com.zynga.livepoker,Zynga Poker ™ – Texas Holdem,1.000,0,
Mech Arena - Shooting Game,in,0,,com.plarium.mechlegion,Mech Arena - Shooting Game,1.000,0,
Real Cricket 26,in,0,VERIFY: 'Real Cricket' ambiguous across versions,com.nautilus.realcricket,Real Cricket™,0.889,0,
Lords Mobile: Kingdom Wars,in,0,fixed casing from 'Lords Mobile: Kingdom wars',com.igg.android.lordsmobile,Lords Mobile: Kingdom Wars,1.000,0,
Fishdom,in,0,,com.playrix.fishdomdd.gplay,Fishdom,1.000,0,
Flambe: Merge and Cook,in,0,,com.cola.game,Flambé®: Merge &amp; Cook,0.905,0,
Tiles Survive!,in,0,,com.funplus.ts.global,Tiles Survive!,1.000,0,
War Robots Multiplayer Battles,in,0,,com.pixonic.wwr,War Robots Multiplayer Battles,1.000,0,
Wuthering Waves,in,0,seasonal subtitle; match base app,com.kurogame.wutheringwaves.global,Wuthering Waves - To Xuanfang,0.714,1,low score 0.71
Animals & Coins,in,0,normalized from 'Animals and Coins: Animal Run',com.innplaylabs.animalkingdomraid,Animals &amp; Coins: Animal Run,0.634,1,low score 0.63
Dream League Soccer 2026,in,0,,com.firsttouchgames.dls7,Dream League Soccer 2026,1.000,0,
Monopoly GO!,in,0,normalized from 'Monopoly Go',com.scopely.monopolygo,MONOPOLY GO!,1.000,0,
Candy Crush Soda Saga,in,0,,com.king.candycrushsodasaga,Candy Crush Soda Saga,1.000,0,
Hitwicket Cricket Game 2026,in,0,,cricketgames.hitwicket.strategy,Hitwicket™ Cricket Game 2026,1.000,0,
Carnival Tycoon: Coin Games,in,0,,com.solitairetripeaks.masterdesign,Carnival Tycoon: Coin Games,1.000,0,
Monopoly GO!,us,0,,com.scopely.monopolygo,MONOPOLY GO!,1.000,0,
Pokémon GO,us,0,,com.nianticlabs.pokemongo,Pokémon GO,1.000,0,
Roblox,us,0,,com.roblox.client,Roblox,1.000,0,
Candy Crush Saga,us,0,,com.king.candycrushsaga,Candy Crush Saga,1.000,0,
Royal Match,us,0,,com.dreamgames.royalmatch,Royal Match,1.000,0,
Kingshot,us,0,,com.run.tower.defense,Kingshot,1.000,0,
Gossip Harbor: Merge & Story,us,0,normalized from 'Gossip Harbor: Merge and Story',com.mergegames.gossipharbor,Gossip Harbor: Merge &amp; Story,0.926,0,
Coin Master,us,0,,com.moonactive.coinmaster,Coin Master,1.000,0,
Township,us,0,,com.playrix.township,Township,1.000,0,
Last War: Survival Game,us,0,,com.fun.lastwar.gp,Last War:Survival Game,1.000,0,
Whiteout Survival,us,0,,com.gof.global,Whiteout Survival,1.000,0,
Royal Kingdom,us,0,,com.dreamgames.royalkingdom,Royal Kingdom,1.000,0,
Fate/Grand Order,us,0,,com.aniplex.fategrandorder.en,Fate/Grand Order (English),0.800,0,
Last Z: Survival Shooter,us,0,,com.readygo.barrel.gp,Last Z: Survival Shooter,1.000,0,
Toon Blast,us,0,,net.peakgames.toonblast,Toon Blast,1.000,0,
Call of Duty: Mobile,us,0,,com.activision.callofduty.shooter,Call of Duty®: Mobile,1.000,0,
Free Fire,us,0,fixed from 'Free Fire: 9th Anniversary' (seasonal subtitle),com.dts.freefireth,Free Fire: 9th Anniversary,0.514,1,low score 0.51
Evony: The King's Return,us,0,,com.topgamesinc.evony,Evony: The King&#39;s Return,0.939,0,
Jackpot Party Casino Slots,us,1,social casino slots,com.williamsinteractive.jackpotparty,Jackpot Party Casino Slots,1.000,0,
Sword x Staff,us,0,,com.zjcs.android.us,Sword x Staff,1.000,0,
Disney Solitaire,us,0,,com.superplaystudios.disneysolitairedreams,Disney Solitaire,1.000,0,
Gardenscapes,us,0,,com.playrix.gardenscapes,Gardenscapes,1.000,0,
Match Factory!,us,0,,net.peakgames.match,Match Factory!,1.000,0,
Lightning Link Casino Slots,us,1,fixed from 'Lighting Link Casino Slots'; social casino slots,com.productmadness.lightninglink,Lightning Link Casino Slots,1.000,0,
Total Battle: War Strategy,us,0,fixed from 'Toral Battle: War Strategy'; same app as UK 'Total Battle: Tactical Wars',com.totalbattle,Total Battle: War Strategy,1.000,0,
Cashman Casino Slots Games,us,1,social casino slots,com.productmadness.cashmancasino,Cashman Casino Slots Games,1.000,0,
Candy Crush Soda Saga,us,0,,com.king.candycrushsodasaga,Candy Crush Soda Saga,1.000,0,
PUBG MOBILE,us,0,,com.tencent.ig,PUBG MOBILE,1.000,0,
Bingo Blitz - Bingo Games,us,1,fixed spacing from 'Bingo Blitz- Bingo Games'; social bingo,air.com.buffalo_studios.newflashbingo,Bingo Blitz™️ - Bingo Games,1.000,0,
Pixel Flow!,us,0,,com.loomgames.pixelflow,Pixel Flow!,1.000,0,
Fishdom,us,0,,com.playrix.fishdomdd.gplay,Fishdom,1.000,0,
Tasty Travels: Merge Game,us,0,,com.fatmerge.global,Tasty Travels: Merge Game,1.000,0,
Goddess of Victory: NIKKE,us,0,,com.proximabeta.nikke,GODDESS OF VICTORY: NIKKE,1.000,0,
Dice Dreams,us,0,,com.superplaystudios.dicedreams,Dice Dreams™️,1.000,0,
Dragon Ball Legends,us,0,,com.bandainamcoent.dblegends_ww,DRAGON BALL LEGENDS,1.000,0,
Homescapes,us,0,,com.playrix.homescapes,Homescapes,1.000,0,
Clash of Clans,us,0,,com.supercell.clashofclans,Clash of Clans,1.000,0,
Last Asylum: Plague,us,0,,com.phs.global,Last Asylum: Plague,1.000,0,
Lotsa Slots - Casino Games,us,1,social casino slots,com.diamondlife.slots.vegas.free,Lotsa Slots - Casino Games,1.000,0,
Clash Royale,us,0,,com.supercell.clashroyale,Clash Royale,1.000,0,
All in Hole: Black Hole Games,us,0,,com.homagames.studio.allinhole,All in Hole: Black Hole Games,1.000,0,
Yarn Loop,us,0,,com.combo.yarnflow,Yarn Loop,1.000,0,
Dark War Survival,us,0,,com.readygo.dark.gp,Dark War Survival,1.000,0,
Travel Town - Merge Adventure,us,0,,io.randomco.travel,Travel Town - Merge Adventure,1.000,0,
Cash Frenzy - Casino Slots,us,1,social casino slots,slots.pcg.casino.games.free.android,Cash Frenzy™ - Casino Slots,1.000,0,
Solitaire Grand Harvest,us,0,,net.supertreat.solitaire,Solitaire Grand Harvest,1.000,0,
