provider,model,reasoning_effort,web_search,micro_f1,micro_p,micro_r,example_f1,class_macro_f1,meso_macro_f1,none_p,none_r,none_f1,exact_match,tp,fp,fn,missed_but_named_in_analysis,parsed,truncated,bad_codes,span_verbatim_rate,cache_hit_rate,mean_output_tokens,mean_reasoning_tokens,usd_per_review,projected_usd_at_200000,latency_p50,search_rate,prompt_sha256,tag
openai,gpt-5.6-luna,high,True,0.8452,0.8659,0.8256,0.8557,0.7543,0.874,0.8182,0.9,0.8571,0.66,71,11,15,3,50,0,0,1.0,0.9638,1104.3,822.4,0.00203567,407.13,10.11,0.04,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_high_teacher_v2_full
openai,gpt-5.6-luna,low,True,0.8434,0.875,0.814,0.8174,0.7408,0.8842,0.7273,0.8,0.7619,0.62,70,10,16,3,50,0,0,1.0,0.9677,478.5,199.2,0.00126359,252.72,8.12,0.04,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_low_teacher_v2_full
openai,gpt-5.6-sol,high,True,0.8216,0.7677,0.8837,0.8506,0.7458,0.8167,0.8182,0.9,0.8571,0.6,76,23,10,2,50,0,0,1.0,0.9451,939.3,630.6,0.03503884,7007.77,18.3,0.08,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-sol_high_teacher_v2_full
deepseek,deepseek-v4-flash,high,True,0.814,0.814,0.814,0.7697,0.6981,0.8018,0.6364,0.7,0.6667,0.52,70,16,16,1,50,0,0,1.0,0.9814,3027.7,2637.1,0.00273934,547.87,18.75,0.06,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,deepseek-v4-flash_high_teacher_v2_full
moonshot,kimi-k3,high,True,0.8114,0.7978,0.8256,0.786,0.7206,0.7985,0.6154,0.8,0.6957,0.58,71,18,15,7,50,0,0,0.9551,0.8099,972.2,546.3,0.0326233,6524.66,34.25,0.02,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,kimi-k3_high_teacher_v2_full
deepseek,deepseek-v4-pro,high,True,0.8068,0.7889,0.8256,0.7685,0.7181,0.8069,0.6364,0.7,0.6667,0.52,71,19,15,3,50,0,0,1.0,0.9612,4476.7,4129.9,0.01052064,2104.13,48.94,0.06,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,deepseek-v4-pro_high_teacher_v2_full
openai,gpt-5.6-terra,medium,True,0.805,0.8767,0.7442,0.7971,0.7204,0.8158,0.6667,1.0,0.8,0.58,64,9,22,8,50,0,0,0.9863,0.976,394.6,164.4,0.01106456,2212.91,5.56,0.08,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-terra_medium_teacher_v2_full
anthropic,claude-sonnet-5,high,True,0.8024,0.8272,0.7791,0.7544,0.7097,0.8226,0.6154,0.8,0.6957,0.56,67,14,19,7,50,0,0,0.9877,0.954,2341.3,0.0,0.04003549,8007.1,21.53,0.08,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,claude-sonnet-5_high_teacher_v2_full
openai,gpt-5.6-terra,high,True,0.8,0.8649,0.7442,0.7751,0.7051,0.7944,0.6,0.9,0.72,0.56,64,10,22,2,50,0,0,1.0,0.9581,503.8,270.5,0.01345614,2691.23,6.28,0.08,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-terra_high_teacher_v2_full
anthropic,claude-haiku-4-5,none,True,0.7673,0.8356,0.7093,0.7139,0.6407,0.7,0.5714,0.8,0.6667,0.5,61,12,25,2,50,0,0,0.9452,0.9551,2920.4,0.0,0.02004063,4008.13,27.6,0.1,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,claude-haiku-4-5_none_teacher_v2_full
anthropic,claude-sonnet-5,medium,True,0.7607,0.8052,0.7209,0.7088,0.6563,0.745,0.5,0.7,0.5833,0.5,62,15,24,6,50,0,0,0.974,0.9939,1076.5,0.0,0.01910272,3820.54,12.78,0.0,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,claude-sonnet-5_medium_teacher_v2_full
