rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_high_teacher_v2_full,gpt-5.6-luna,high,teacher_v2_full,6529a474a2b0,,0.0,0.8452,0.8659,0.8256,0.7543,0.874,0.7174655172413793,0.66,0.815,0.75059,0.8182,0.9,0.8571,1.64,0.9534883720930233,-4,9,13,33,10.11,34.77,731.1111111111111,25830.86,1104.32,0.00203567,407.13,85783.33333333749,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_low_teacher_v2_full,gpt-5.6-luna,low,teacher_v2_full,6529a474a2b0,,-0.0017999999999999128,0.8434,0.875,0.814,0.7408,0.8842,0.6738758620689655,0.62,0.7776666666666666,0.7160033333333333,0.7273,0.8,0.7619,1.6,0.9302325581395349,-6,9,14,31,8.12,17.67,535.5555555555555,25725.26,478.52,0.00126359,252.72,ref,False,1.0,0.0,0.0,0.0,0,True
3,gpt-5.6-sol_high_teacher_v2_full,gpt-5.6-sol,high,teacher_v2_full,6529a474a2b0,,-0.023599999999999954,0.8216,0.7677,0.8837,0.7458,0.8167,0.6834379310344828,0.6,0.8038888888888889,0.7338855555555556,0.8182,0.9,0.8571,1.98,1.1511627906976745,13,13,8,30,18.3,46.31,1260.0,26341.44,939.34,0.03503884,7007.77,,False,1.0,0.0,0.0,0.0,0,True
4,deepseek-v4-flash_high_teacher_v2_full,deepseek-v4-flash,high,teacher_v2_full,6529a474a2b0,default,-0.031200000000000006,0.814,0.814,0.814,0.6981,0.8018,0.6661310344827586,0.52,0.722,0.6404933333333334,0.6364,0.7,0.6667,1.72,1.0,0,15,14,26,18.75,53.25,1458.3333333333333,23835.54,3027.7,0.00273934,547.87,,False,1.0,0.0,0.0,0.0,1,True
5,kimi-k3_high_teacher_v2_full,kimi-k3,high,teacher_v2_full,6529a474a2b0,default,-0.03379999999999994,0.8114,0.7978,0.8256,0.7206,0.7985,0.6581068965517242,0.58,0.7445714285714286,0.6730685714285715,0.6154,0.8,0.6957,1.78,1.0348837209302326,3,14,12,29,34.25,99.38,2383.3333333333335,22062.02,972.2,0.0326233,6524.66,,False,0.9551,0.0,0.0,0.0,0,True
6,deepseek-v4-pro_high_teacher_v2_full,deepseek-v4-pro,high,teacher_v2_full,6529a474a2b0,default,-0.03839999999999999,0.8068,0.7889,0.8256,0.7181,0.8069,0.6563931034482758,0.52,0.7193809523809523,0.633962380952381,0.6364,0.7,0.6667,1.8,1.0465116279069768,4,17,13,26,48.94,210.52,3590.0,25161.1,4476.72,0.01052064,2104.13,,False,1.0,0.0,0.0,0.0,4,True
7,gpt-5.6-terra_medium_teacher_v2_full,gpt-5.6-terra,medium,teacher_v2_full,6529a474a2b0,,-0.0401999999999999,0.805,0.8767,0.7442,0.7204,0.8158,0.5962586206896552,0.58,0.7483333333333333,0.6769166666666667,0.6667,1.0,0.8,1.46,0.8488372093023255,-13,8,18,29,5.56,13.89,346.6666666666667,26027.26,394.62,0.01106456,2212.91,,False,0.9863,0.0,0.0,0.0,0,True
8,claude-sonnet-5_high_teacher_v2_full,claude-sonnet-5,high,teacher_v2_full,6529a474a2b0,unsupported,-0.04279999999999995,0.8024,0.8272,0.7791,0.7097,0.8226,0.5974586206896552,0.56,0.713,0.6490233333333333,0.6154,0.8,0.6957,1.62,0.9418604651162791,-5,12,16,28,21.53,90.72,1778.8888888888891,52321.52,2341.3,0.04003549,8007.1,,False,0.9877,0.0,0.0,0.0,0,True
9,gpt-5.6-terra_high_teacher_v2_full,gpt-5.6-terra,high,teacher_v2_full,6529a474a2b0,,-0.04519999999999991,0.8,0.8649,0.7442,0.7051,0.7944,0.5957758620689655,0.56,0.732,0.6596,0.6,0.9,0.72,1.48,0.8604651162790697,-12,10,17,28,6.28,16.7,421.1111111111111,25983.82,503.78,0.01345614,2691.23,,False,1.0,0.0,0.0,0.0,0,True
10,claude-haiku-4-5_none_teacher_v2_full,claude-haiku-4-5,none,teacher_v2_full,6529a474a2b0,unsupported,-0.07789999999999997,0.7673,0.8356,0.7093,0.6407,0.7,0.5620793103448276,0.5,0.6696666666666666,0.5973566666666666,0.5714,0.8,0.6667,1.46,0.8488372093023255,-13,11,21,25,27.6,57.41,1708.888888888889,30044.78,2920.4,0.02004063,4008.13,,False,0.9452,0.0,0.0,0.0,1,False
11,claude-sonnet-5_medium_teacher_v2_full,claude-sonnet-5,medium,teacher_v2_full,6529a474a2b0,unsupported,-0.08449999999999991,0.7607,0.8052,0.7209,0.6563,0.745,0.5615034482758621,0.5,0.6666666666666666,0.5952333333333333,0.5,0.7,0.5833,1.54,0.8953488372093024,-9,12,19,25,12.78,24.22,745.0,39485.74,1076.52,0.01910272,3820.54,,False,0.974,0.0,0.0,0.0,0,True
