provider,model,reasoning_effort,web_search,micro_f1,micro_p,micro_r,example_f1,class_macro_f1,meso_macro_f1,none_p,none_r,none_f1,exact_match,tp,fp,fn,missed_but_named_in_analysis,parsed,truncated,bad_codes,span_verbatim_rate,cache_hit_rate,mean_output_tokens,mean_reasoning_tokens,usd_per_review,projected_usd_at_200000,latency_p50,search_rate,prompt_sha256,tag
openai,gpt-5.6-luna,high,True,0.8452,0.8659,0.8256,0.8557,0.7543,0.874,0.8182,0.9,0.8571,0.66,71,11,15,3,50,0,0,1.0,0.9638,1104.3,822.4,0.00203567,407.13,10.11,0.04,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_high_teacher_v2_full
openai,gpt-5.6-luna,low,True,0.8434,0.875,0.814,0.8174,0.7408,0.8842,0.7273,0.8,0.7619,0.62,70,10,16,3,50,0,0,1.0,0.9677,478.5,199.2,0.00126359,252.72,8.12,0.04,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_low_teacher_v2_full
openai,gpt-5.6-luna,,True,0.8395,0.8947,0.7907,0.8051,0.7266,0.859,0.6429,0.9,0.75,0.64,68,8,18,1,50,0,0,1.0,0.9906,604.7,328.8,0.0012817,256.34,8.02,0.02,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_none_teacher_v2_full
openai,gpt-5.6-luna,medium,True,0.8354,0.9167,0.7674,0.8019,0.7205,0.8471,0.6429,0.9,0.75,0.64,66,6,20,6,50,0,0,1.0,0.9743,626.6,364.8,0.00140651,281.3,11.28,0.0,6529a474a2b03d2c00556c78075130b0f05d7cd7d1a637f241279393194c422c,gpt-5.6-luna_medium_teacher_v2_full
openai,gpt-5.6-luna,high,True,0.8302,0.9041,0.7674,0.8635,0.7475,0.8409,0.9091,1.0,0.9524,0.68,66,7,20,13,50,0,0,1.0,0.974,897.4,681.5,0.00170191,340.38,13.17,0.0,e8cd52987c330b045724a453e3260a30fcf0ac5cbe9da931bed4e7b65e94d9e7,gpt-5.6-luna_high_teacher_v1
openai,gpt-5.6-luna,,True,0.8235,0.9403,0.7326,0.8156,0.7409,0.8222,0.7143,1.0,0.8333,0.62,63,4,23,11,50,0,0,0.9851,0.9906,528.1,316.8,0.00116359,232.72,9.6,0.02,e8cd52987c330b045724a453e3260a30fcf0ac5cbe9da931bed4e7b65e94d9e7,gpt-5.6-luna_none_teacher_v1
openai,gpt-5.6-luna,medium,True,0.8235,0.9403,0.7326,0.8223,0.722,0.8024,0.7143,1.0,0.8333,0.6,63,4,23,17,50,0,0,1.0,0.974,478.5,268.3,0.00119927,239.85,10.11,0.0,e8cd52987c330b045724a453e3260a30fcf0ac5cbe9da931bed4e7b65e94d9e7,gpt-5.6-luna_medium_teacher_v1
openai,gpt-5.6-luna,medium,True,0.8212,0.9538,0.7209,0.7897,0.7064,0.8545,0.6429,0.9,0.75,0.62,62,3,24,6,50,0,0,1.0,0.9526,584.4,325.5,0.00129148,258.3,9.1,0.0,013bb31c5857ba04fa67a71af1365b0128246dbdc30ea325ba8ea927329625cf,gpt-5.6-luna_medium_teacher_v2_boundary
openai,gpt-5.6-luna,high,True,0.8176,0.8904,0.7558,0.835,0.7446,0.8339,0.7143,1.0,0.8333,0.68,65,8,21,8,50,0,0,1.0,0.9574,1164.0,889.6,0.00195961,391.92,10.53,0.06,013bb31c5857ba04fa67a71af1365b0128246dbdc30ea325ba8ea927329625cf,gpt-5.6-luna_high_teacher_v2_boundary
openai,gpt-5.6-luna,low,True,0.7945,0.9667,0.6744,0.7716,0.6905,0.8128,0.5882,1.0,0.7407,0.54,58,2,28,9,50,0,0,1.0,0.9725,430.0,182.1,0.00101785,203.57,6.39,0.0,013bb31c5857ba04fa67a71af1365b0128246dbdc30ea325ba8ea927329625cf,gpt-5.6-luna_low_teacher_v2_boundary
openai,gpt-5.6-luna,low,True,0.7895,0.9091,0.6977,0.7553,0.6781,0.814,0.6,0.9,0.72,0.56,60,6,26,13,50,0,0,1.0,0.974,353.1,157.7,0.00104884,209.77,8.24,0.0,e8cd52987c330b045724a453e3260a30fcf0ac5cbe9da931bed4e7b65e94d9e7,gpt-5.6-luna_low_teacher_v1
openai,gpt-5.6-luna,,True,0.7733,0.9062,0.6744,0.8059,0.735,0.8143,0.7692,1.0,0.8696,0.56,58,6,28,6,50,0,0,1.0,0.9866,597.4,342.6,0.00115275,230.55,7.63,0.02,013bb31c5857ba04fa67a71af1365b0128246dbdc30ea325ba8ea927329625cf,gpt-5.6-luna_none_teacher_v2_boundary
openai,gpt-5.6-luna,high,True,0.7362,0.7792,0.6977,0.7318,0.6327,0.7024,0.5714,0.8,0.6667,0.5,60,17,26,0,50,0,0,1.0,0.9585,1237.7,968.7,0.0018282,365.64,10.31,0.06,ecd3c1810cf26b708ac6385269fe9ff39f232f2a6dd9131a53f0710b125362ca,gpt-5.6-luna_high_teacher_v2_bare
openai,gpt-5.6-luna,medium,True,0.72,0.8438,0.6279,0.7086,0.6327,0.6563,0.5625,0.9,0.6923,0.46,54,10,32,6,50,0,0,1.0,0.968,516.6,276.7,0.00094406,188.81,6.55,0.0,ecd3c1810cf26b708ac6385269fe9ff39f232f2a6dd9131a53f0710b125362ca,gpt-5.6-luna_medium_teacher_v2_bare
openai,gpt-5.6-luna,,True,0.6842,0.7879,0.6047,0.6745,0.6006,0.5969,0.5385,0.7,0.6087,0.46,52,14,34,6,50,0,0,0.9848,0.9406,584.4,335.1,0.00109603,219.21,6.79,0.08,ecd3c1810cf26b708ac6385269fe9ff39f232f2a6dd9131a53f0710b125362ca,gpt-5.6-luna_none_teacher_v2_bare
openai,gpt-5.6-luna,low,True,0.6619,0.8679,0.5349,0.6819,0.6104,0.547,0.5556,1.0,0.7143,0.46,46,7,40,7,50,0,0,0.9811,0.968,385.8,157.6,0.00078705,157.41,5.5,0.0,ecd3c1810cf26b708ac6385269fe9ff39f232f2a6dd9131a53f0710b125362ca,gpt-5.6-luna_low_teacher_v2_bare
