rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_xhigh_teacher_v2_full,gpt-5.6-luna,xhigh,teacher_v2_full,aad355174ac4,,0.0,0.8506,0.8409,0.8605,0.7249,0.8952,0.7224827586206897,0.68,0.806,0.75048,0.7273,0.8,0.7619,1.76,1.0232558139534884,2,11,10,34,16.65,71.64,1532.2222222222222,27071.8,2836.0,0.00419496,838.99,81426.38888888907,False,1.0,0.0,0.0,0.0,3,True
2,gpt-5.6-luna_high_teacher_v2_full,gpt-5.6-luna,high,teacher_v2_full,6529a474a2b0,,-0.005400000000000071,0.8452,0.8659,0.8256,0.7543,0.874,0.7174655172413793,0.66,0.815,0.75059,0.8182,0.9,0.8571,1.64,0.9534883720930233,-4,9,13,33,10.11,34.77,731.1111111111111,25830.86,1104.32,0.00203567,407.13,85783.33333333749,False,1.0,0.0,0.0,0.0,0,True
3,gpt-5.6-luna_low_teacher_v2_full,gpt-5.6-luna,low,teacher_v2_full,6529a474a2b0,,-0.007199999999999984,0.8434,0.875,0.814,0.7408,0.8842,0.6738758620689655,0.62,0.7776666666666666,0.7160033333333333,0.7273,0.8,0.7619,1.6,0.9302325581395349,-6,9,14,31,8.12,17.67,535.5555555555555,25725.26,478.52,0.00126359,252.72,ref,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_none_teacher_v2_full,gpt-5.6-luna,none,teacher_v2_full,6529a474a2b0,,-0.011099999999999999,0.8395,0.8947,0.7907,0.7266,0.859,0.6801034482758621,0.64,0.7693333333333333,0.7155466666666667,0.6429,0.9,0.75,1.52,0.8837209302325582,-10,7,15,32,8.02,18.71,586.6666666666666,25642.88,604.72,0.0012817,256.34,,False,1.0,0.0,0.0,0.0,0,True
5,gpt-5.6-luna_medium_teacher_v2_full,gpt-5.6-luna,medium,teacher_v2_full,6529a474a2b0,,-0.015199999999999991,0.8354,0.9167,0.7674,0.7205,0.8471,0.7001379310344827,0.64,0.7646666666666667,0.7157066666666667,0.6429,0.9,0.75,1.44,0.8372093023255814,-14,5,16,32,11.28,20.29,636.1111111111111,25551.52,626.58,0.00140651,281.3,,False,1.0,0.0,0.0,0.0,0,True
6,deepseek-v4-flash_max_teacher_v2_full,deepseek-v4-flash,max,teacher_v2_full,aad355174ac4,default,-0.021299999999999986,0.8293,0.8718,0.7907,0.7516,0.8257,0.6571448275862068,0.58,0.782,0.7004933333333333,0.7143,1.0,0.8333,1.56,0.9069767441860465,-8,10,16,29,22.79,111.12,1841.111111111111,26226.52,4169.76,0.00407433,814.87,,False,1.0,0.0,0.0,0.0,5,True
7,deepseek-v4-flash_high_teacher_v2_full,deepseek-v4-flash,high,teacher_v2_full,6529a474a2b0,default,-0.03660000000000008,0.814,0.814,0.814,0.6981,0.8018,0.6661310344827586,0.52,0.722,0.6404933333333334,0.6364,0.7,0.6667,1.72,1.0,0,15,14,26,18.75,53.25,1458.3333333333333,23835.54,3027.7,0.00273934,547.87,,False,1.0,0.0,0.0,0.0,1,True
8,kimi-k3_high_teacher_v2_full,kimi-k3,high,teacher_v2_full,6529a474a2b0,default,-0.03920000000000001,0.8114,0.7978,0.8256,0.7206,0.7985,0.6581068965517242,0.58,0.7445714285714286,0.6730685714285715,0.6154,0.8,0.6957,1.78,1.0348837209302326,3,14,12,29,34.25,99.38,2383.3333333333335,22062.02,972.2,0.0326233,6524.66,,False,0.9551,0.0,0.0,0.0,0,True
9,gpt-5.6-terra_medium_teacher_v2_full,gpt-5.6-terra,medium,teacher_v2_full,6529a474a2b0,,-0.045599999999999974,0.805,0.8767,0.7442,0.7204,0.8158,0.5962586206896552,0.58,0.7483333333333333,0.6769166666666667,0.6667,1.0,0.8,1.46,0.8488372093023255,-13,8,18,29,5.56,13.89,346.6666666666667,26027.26,394.62,0.01106456,2212.91,,False,0.9863,0.0,0.0,0.0,0,True
10,claude-sonnet-5_high_teacher_v2_full,claude-sonnet-5,high,teacher_v2_full,6529a474a2b0,unsupported,-0.04820000000000002,0.8024,0.8272,0.7791,0.7097,0.8226,0.5974586206896552,0.56,0.713,0.6490233333333333,0.6154,0.8,0.6957,1.62,0.9418604651162791,-5,12,16,28,21.53,90.72,1778.8888888888891,52321.52,2341.3,0.04003549,8007.1,,False,0.9877,0.0,0.0,0.0,0,True
11,deepseek-v4-flash_low_teacher_v2_full,deepseek-v4-flash,low,teacher_v2_full,aad355174ac4,default,-0.05059999999999998,0.8,0.8649,0.7442,0.6876,0.8189,0.562851724137931,0.54,0.715,0.64705,0.6,0.9,0.72,1.48,0.8604651162790697,-12,8,19,27,12.77,31.65,863.8888888888889,24823.48,1868.32,0.00255067,510.13,,False,0.973,0.0,0.0,0.0,1,True
12,gpt-5.6-terra_high_teacher_v2_full,gpt-5.6-terra,high,teacher_v2_full,6529a474a2b0,,-0.05059999999999998,0.8,0.8649,0.7442,0.7051,0.7944,0.5957758620689655,0.56,0.732,0.6596,0.6,0.9,0.72,1.48,0.8604651162790697,-12,10,17,28,6.28,16.7,421.1111111111111,25983.82,503.78,0.01345614,2691.23,,False,1.0,0.0,0.0,0.0,0,True
13,kimi-k3_low_teacher_v2_full,kimi-k3,low,teacher_v2_full,aad355174ac4,default,-0.059599999999999986,0.791,0.7692,0.814,0.7122,0.7943,0.6279379310344827,0.56,0.7271428571428571,0.6491571428571429,0.6364,0.7,0.6667,1.82,1.058139534883721,5,16,13,28,18.67,34.12,1222.7777777777778,21034.4,474.98,0.03327635,6655.27,,False,0.967,0.0,0.0,0.0,0,True
14,deepseek-v4-flash_none_teacher_v2_full,deepseek-v4-flash,none,teacher_v2_full,aad355174ac4,default,-0.0887,0.7619,0.7805,0.7442,0.6501,0.7877,0.550948275862069,0.48,0.6448571428571429,0.5833628571428572,0.4667,0.7,0.56,1.64,0.9534883720930233,-4,11,18,24,8.37,19.35,606.6666666666666,33924.82,1245.66,0.00468479,936.96,,False,0.9512,0.0,0.0,0.0,6,True
15,claude-sonnet-5_medium_teacher_v2_full,claude-sonnet-5,medium,teacher_v2_full,6529a474a2b0,unsupported,-0.08989999999999998,0.7607,0.8052,0.7209,0.6563,0.745,0.5615034482758621,0.5,0.6666666666666666,0.5952333333333333,0.5,0.7,0.5833,1.54,0.8953488372093024,-9,12,19,25,12.78,24.22,745.0,39485.74,1076.52,0.01910272,3820.54,,False,0.974,0.0,0.0,0.0,0,True
