app_id,market,status,n_reviews,n_relevant,n_newest,finished_utc
air.com.buffalo_studios.newflashbingo,gb,done,5000,5000,0,2026-07-11T20:46:59Z
air.com.buffalo_studios.newflashbingo,us,done,5000,5000,0,2026-07-11T20:47:41Z
com.MadOut.BIG,in,done,5000,5000,0,2026-07-11T21:42:14Z
com.activision.callofduty.shooter,in,done,5000,5000,0,2026-07-11T20:49:44Z
com.activision.callofduty.shooter,us,done,5000,5000,0,2026-07-11T20:50:28Z
com.aniplex.fategrandorder.en,gb,done,5000,5000,0,2026-07-11T21:16:51Z
com.aniplex.fategrandorder.en,us,done,5000,5000,0,2026-07-11T21:17:30Z
com.bandainamcoent.dblegends_ww,gb,done,5000,5000,0,2026-07-11T21:11:24Z
com.bandainamcoent.dblegends_ww,us,done,5000,5000,0,2026-07-11T21:12:03Z
com.bingo.cruise.free.best.top.game,gb,done,5000,5000,0,2026-07-11T20:49:01Z
com.cedargames.mysterytown,gb,done,1583,1583,0,2026-07-11T21:49:59Z
com.chess,in,done,5000,5000,0,2026-07-11T20:57:49Z
com.cola.game,gb,done,3617,3609,8,2026-07-11T21:20:31Z
com.cola.game,in,done,3617,3616,1,2026-07-11T21:21:27Z
com.combo.yarnflow,gb,done,3033,3033,0,2026-07-11T22:23:34Z
com.combo.yarnflow,us,done,3033,3029,4,2026-07-11T22:24:20Z
com.cooking.bingo.ldkwh,gb,done,5000,5000,0,2026-07-11T20:48:20Z
com.diamondlife.slots.vegas.free,us,done,5000,5000,0,2026-07-11T21:40:52Z
com.dreamgames.royalkingdom,gb,done,5000,5000,0,2026-07-11T21:59:35Z
com.dreamgames.royalkingdom,us,done,5000,5000,0,2026-07-11T22:00:14Z
com.dreamgames.royalmatch,gb,done,5000,5000,0,2026-07-11T22:00:55Z
com.dreamgames.royalmatch,in,done,5000,5000,0,2026-07-11T22:01:36Z
com.dreamgames.royalmatch,us,done,5000,5000,0,2026-07-11T22:02:17Z
com.dts.freefiremax,in,done,5000,5000,0,2026-07-11T21:22:09Z
com.dts.freefireth,us,done,5000,5000,0,2026-07-11T21:22:52Z
com.ea.gp.fifamobile,in,done,5000,5000,0,2026-07-11T21:13:29Z
com.fatmerge.global,gb,done,5000,5000,0,2026-07-11T22:06:46Z
com.fatmerge.global,in,done,5000,5000,0,2026-07-11T22:07:25Z
com.fatmerge.global,us,done,5000,5000,0,2026-07-11T22:08:04Z
com.firsttouchgames.dls7,in,done,5000,5000,0,2026-07-11T21:12:45Z
com.fun.lastwar.gp,gb,done,5000,5000,0,2026-07-11T21:35:30Z
com.fun.lastwar.gp,in,done,5000,5000,0,2026-07-11T21:36:09Z
com.fun.lastwar.gp,us,done,5000,5000,0,2026-07-11T21:36:49Z
com.funplus.ts.global,in,done,5000,5000,0,2026-07-11T22:10:01Z
com.funtomic.matchmasters,gb,done,5000,5000,0,2026-07-11T21:44:11Z
com.gamedots.seasideescape,gb,done,5000,5000,0,2026-07-11T22:02:57Z
com.global.ztmslg,us,done,5000,5000,0,2026-07-11T21:55:31Z
com.gof.global,gb,done,5000,5000,0,2026-07-11T22:20:02Z
com.gof.global,in,done,5000,5000,0,2026-07-11T22:20:43Z
com.gof.global,us,done,5000,5000,0,2026-07-11T22:21:23Z
com.hollywood.merge,gb,done,1555,1555,0,2026-07-11T21:28:48Z
com.homagames.studio.allinhole,gb,done,5000,5000,0,2026-07-11T20:16:47Z
com.homagames.studio.allinhole,in,done,5000,5000,0,2026-07-11T20:16:09Z
com.homagames.studio.allinhole,us,done,5000,5000,0,2026-07-11T20:44:15Z
com.igg.android.lordsmobile,in,done,5000,5000,0,2026-07-11T21:40:12Z
com.innplaylabs.animalkingdomraid,gb,done,5000,5000,0,2026-07-11T20:44:55Z
com.innplaylabs.animalkingdomraid,in,done,5000,5000,0,2026-07-11T20:45:35Z
com.innplaylabs.animalkingdomraid,us,done,5000,5000,0,2026-07-11T20:17:31Z
com.joycastle.mergematch,gb,done,5000,5000,0,2026-07-11T21:44:50Z
com.king.candycrushsaga,gb,done,5000,5000,0,2026-07-11T20:51:09Z
com.king.candycrushsaga,in,done,5000,5000,0,2026-07-11T20:51:51Z
com.king.candycrushsaga,us,done,5000,5000,0,2026-07-11T20:52:32Z
com.king.candycrushsodasaga,gb,done,5000,5000,0,2026-07-11T20:53:13Z
com.king.candycrushsodasaga,in,done,5000,5000,0,2026-07-11T20:53:51Z
com.king.candycrushsodasaga,us,done,5000,5000,0,2026-07-11T20:54:30Z
com.kurogame.wutheringwaves.global,in,done,5000,5000,0,2026-07-11T22:22:05Z
com.loomgames.pixelflow,gb,done,5000,5000,0,2026-07-11T21:50:39Z
com.loomgames.pixelflow,us,done,5000,5000,0,2026-07-11T21:51:17Z
com.ludo.king,in,done,5000,5000,0,2026-07-11T21:41:32Z
com.merge.cooking.theme.restaurant.food,gb,done,5000,5000,0,2026-07-11T21:46:11Z
com.merge.cooking.theme.restaurant.food,us,done,5000,5000,0,2026-07-11T21:46:51Z
com.mergegames.gossipharbor,gb,done,5000,5000,0,2026-07-11T21:27:04Z
com.mergegames.gossipharbor,us,done,5000,5000,0,2026-07-11T21:27:43Z
